Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality,total_particles,pm_ratio,log_PM2.5,log_PM10,log_CO,log_NO2,log_SO2,unhealthy
29.8,59.1,5.2,17.9,18.9,9.2,1.72,6.3,319,Moderate,23.099999999999998,0.290502777066884,1.824549292051046,2.9391619220655967,1.000631880307906,2.990719731730447,2.322387720290225,0
28.3,75.6,2.3,12.2,30.8,9.7,1.64,6.0,611,Moderate,14.5,0.18852457471110043,1.1939224684724346,2.580216829592325,0.9707789171582248,3.459466289786131,2.3702437414678603,0
23.1,74.7,26.7,33.8,24.4,12.6,1.63,5.2,619,Moderate,60.5,0.7899408050313372,3.3214324131932926,3.5496173867804286,0.9669838461896731,3.2347491740244907,2.6100697927420065,0
27.1,39.1,6.1,6.3,13.5,5.3,1.15,11.1,551,Good,12.399999999999999,0.9682538145628865,1.9600947840472698,1.9878743481543455,0.7654678421395714,2.6741486494265287,1.840549633397487,0
26.5,70.7,6.9,16.0,21.9,5.6,1.01,12.7,303,Good,22.9,0.4312499730468767,2.066862759472976,2.833213344056216,0.6981347220709844,3.131136910560194,1.8870696490323797,0
39.4,96.6,14.6,35.5,42.9,17.9,1.82,3.1,674,Hazardous,50.1,0.4112675940488002,2.747270914255491,3.597312260588446,1.0367368849500223,3.7819143200811256,2.9391619220655967,0
41.7,82.5,1.7,15.8,31.1,12.7,1.8,4.6,735,Poor,17.5,0.10759492989905507,0.9932517730102833,2.8213788864092133,1.0296194171811581,3.4688560301359703,2.617395832834079,0
31.0,59.6,5.0,16.8,24.2,13.6,1.38,6.3,443,Moderate,21.8,0.29761902990362915,1.791759469228055,2.8791984572980396,0.8671004876833833,3.2268439945173775,2.681021528714291,0
29.4,93.8,10.3,22.7,45.1,11.8,2.03,5.4,486,Poor,33.0,0.4537444734033272,2.424802725718295,3.1654750481410856,1.1085626195212777,3.8308129500026027,2.5494451709255714,0
33.2,80.5,11.1,24.4,32.0,15.3,1.69,4.9,535,Poor,35.5,0.45491801414270433,2.4932054526026954,3.2347491740244907,0.9895411936137477,3.4965075614664802,2.791165107812717,0
26.3,65.7,1.3,5.5,18.3,5.9,0.85,13.0,529,Good,6.8,0.23636359338843757,0.832909122935104,1.8718021769015913,0.6151856390902334,2.9601050959108397,1.9315214116032138,0
32.5,51.2,1.6,10.5,21.6,19.3,1.53,5.9,519,Moderate,12.1,0.1523809378684821,0.9555114450274363,2.4423470353692043,0.9282193027394289,3.1179499062782403,3.0106208860477417,0
20.0,53.3,3.7,12.9,26.1,6.6,1.09,10.2,538,Good,16.6,0.2868216831921176,1.547562508716013,2.631888840136646,0.7371640659767197,3.299533727885655,2.028148247292285,0
28.6,53.7,28.9,34.0,23.2,4.5,1.02,11.0,508,Good,62.9,0.8499999750000008,3.3978584803966405,3.5553480614894135,0.7030975114131134,3.186352633162641,1.7047480922384253,0
22.3,80.5,4.5,12.0,17.2,6.3,1.18,10.4,232,Good,16.5,0.37499996875000263,1.7047480922384253,2.5649493574615367,0.7793248768009976,2.9014215940827497,1.9878743481543455,0
32.0,78.9,22.4,29.9,27.5,11.8,1.48,7.9,444,Moderate,52.3,0.7491638545430148,3.152736022363656,3.4307561839036995,0.9082585601768908,3.349904087274605,2.5494451709255714,0
